accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,log_loss,brier_score_multiclass,model,fold_id,fit_time_seconds,prediction_time_seconds,fit_status,error_message,feature_representation,n_predictors
0.48236648250460407,0.18945066788919132,0.316896024685637,0.18945066788919132,0.19083702756915985,0.4117443430726745,1.7023683786392212,0.6697503359065626,Support Vector Machine,5,7.194071054458618,0.018307209014892578,success,,NV,12
0.4826665438976106,0.1927711479246245,0.2877927208650684,0.1927711479246245,0.1941356174595252,0.41229956142127516,1.7063244581222534,0.6697215881659621,Support Vector Machine,6,7.166452884674072,0.028254032135009766,success,,NV,12
0.4846685082872928,0.1898642080831096,0.25235966723053854,0.1898642080831096,0.18901312912111326,0.413397322324918,1.7038755416870117,0.6685535844837404,Support Vector Machine,7,7.641484022140503,0.020556211471557617,success,,NV,12
0.4845303867403315,0.19020762095080038,0.2556611670478562,0.19020762095080038,0.18886846766759235,0.41302746525875983,1.6977051496505737,0.6667710862451731,Support Vector Machine,8,7.300280809402466,0.019925832748413086,success,,NV,12
0.4870626151012891,0.1896143292544133,0.24941088562291772,0.1896143292544133,0.18788326891554008,0.41451160971865414,1.6914756298065186,0.6667462692416278,Support Vector Machine,9,7.384165048599243,0.02382493019104004,success,,NV,12
0.48439226519337014,0.1921649268223271,0.26977072384779555,0.1921649268223271,0.19339486730389055,0.4135621333169097,1.7017779350280762,0.6682882947554714,Support Vector Machine,10,7.088874816894531,0.019005298614501953,success,,NV,12
0.7731688227982138,0.6361528820369818,0.7064443137307713,0.6361528820369818,0.6522334435270176,0.7665772892272275,0.6937116980552673,0.31953748114230734,Neural Network,1,10.20652985572815,0.006801128387451172,success,,NV,12
0.7714548802946593,0.6265981615779865,0.7428667935707077,0.6265981615779865,0.6464986553209712,0.7644303331353673,0.6829773187637329,0.3165632871446188,Neural Network,2,11.049287796020508,0.007437944412231445,success,,NV,12
0.7597145488029466,0.6074384244582923,0.6719598857528952,0.6074384244582923,0.614509074512404,0.7517488267215447,0.719986617565155,0.33210824911054143,Neural Network,3,6.6003258228302,0.006899118423461914,success,,NV,12
0.7639963167587477,0.599765092373343,0.6551177181630634,0.599765092373343,0.6111649240223089,0.7564217794924976,0.7185933589935303,0.33262516905152195,Neural Network,4,5.452005863189697,0.006033182144165039,success,,NV,12
0.7629373848987109,0.6013285547404349,0.6450456369909359,0.6013285547404349,0.6086401135143786,0.7554267912541169,0.715627133846283,0.33163534763381736,Neural Network,5,6.486198902130127,0.006800174713134766,success,,NV,12
0.7721559780857234,0.6409388948831346,0.6891782540048039,0.6409388948831346,0.6492425760489082,0.7650403144305201,0.6802039742469788,0.31587983109552975,Neural Network,6,11.359102964401245,0.00864410400390625,success,,NV,12
0.7745856353591161,0.6134631488892679,0.6527432887791528,0.6134631488892679,0.6221919953195846,0.76845920059936,0.6943071484565735,0.3195383881743659,Neural Network,7,8.63994288444519,0.006372213363647461,success,,NV,12
0.7660681399631676,0.6312603834065542,0.7334426506278455,0.6312603834065542,0.6519252439106253,0.758257376996585,0.694955587387085,0.3233659610449234,Neural Network,8,6.918903827667236,0.005567073822021484,success,,NV,12
0.7656537753222836,0.603469646489026,0.6611278138871283,0.603469646489026,0.6140990650538686,0.7572928806382911,0.7147677540779114,0.3291426927382998,Neural Network,9,6.282053232192993,0.005104780197143555,success,,NV,12
0.7638121546961326,0.6130824396599904,0.7100538802599047,0.6130824396599904,0.6303470567472292,0.7569069159540355,0.7084377408027649,0.32841762102007543,Neural Network,10,6.4921369552612305,0.005629062652587891,success,,NV,12
0.4702822153676166,0.4459427034779888,0.37961654188516336,0.4459427034779888,0.35668439067493535,0.5122285685433442,1.990828275680542,0.7435437594575297,Logistic Regression,1,3.1443638801574707,0.0037071704864501953,success,,NV,12
0.46348987108655615,0.43966033494825657,0.3732273391394495,0.43966033494825657,0.3532654786126082,0.5047239636990487,2.0255038738250732,0.7480653305622571,Logistic Regression,2,3.470573663711548,0.0032062530517578125,success,,NV,12
0.46703499079189686,0.4439813664226729,0.3715897985937718,0.4439813664226729,0.3539275789596236,0.5061578474632697,2.0326461791992188,0.7436335201233973,Logistic Regression,3,3.8285000324249268,0.004665851593017578,success,,NV,12
0.4634438305709024,0.44975567248212206,0.368893439735113,0.44975567248212206,0.34999588958437444,0.5035044920627129,2.02109956741333,0.7430696793805965,Logistic Regression,4,3.874851703643799,0.0053272247314453125,success,,NV,12
0.45897790055248616,0.453407640891816,0.3720217415003695,0.453407640891816,0.3516491907266854,0.5000092760810968,2.0344157218933105,0.7506212682149954,Logistic Regression,5,3.2311859130859375,0.0035462379455566406,success,,NV,12
0.45794392523364486,0.43464628112569725,0.3699806164820214,0.43464628112569725,0.3493941955415175,0.49885329979768384,2.0294296741485596,0.7481975094586181,Logistic Regression,6,3.6203789710998535,0.0039479732513427734,success,,NV,12
0.4639963167587477,0.44430179965237027,0.3692618997726383,0.44430179965237027,0.34963238726906426,0.5042461525605084,2.0302436351776123,0.7463501230183638,Logistic Regression,7,3.5879387855529785,0.0024690628051757812,success,,NV,12
0.4606353591160221,0.4382170570493914,0.3721780721218673,0.4382170570493914,0.3504193629599499,0.5030246282310319,2.0153353214263916,0.7452589433599089,Logistic Regression,8,3.7631478309631348,0.005524396896362305,success,,NV,12
0.465377532228361,0.45656047989301973,0.3760053537875663,0.45656047989301973,0.3581179993817156,0.5046780002379581,2.0093472003936768,0.7440710475319038,Logistic Regression,9,3.507390022277832,0.00500178337097168,success,,NV,12
0.4721915285451197,0.45775508017092253,0.37941914710203184,0.45775508017092253,0.3583593262542861,0.513677637350934,2.0217254161834717,0.7452157460130654,Logistic Regression,10,3.4627959728240967,0.004036903381347656,success,,NV,12
0.7047557663091017,0.5506571291068125,0.5515092322643184,0.5506571291068125,0.5508797037568862,0.7048802178177567,4.706897258758545,0.5904884673817964,Decision Tree,1,1.5887579917907715,0.0066149234771728516,success,,ANV,18
0.701427255985267,0.5687106553558907,0.5704726851539657,0.5687106553558907,0.5690376865973671,0.700956898164787,4.7599616050720215,0.5971454880294659,Decision Tree,2,1.5791981220245361,0.007392168045043945,success,,ANV,18
0.7042817679558011,0.5725912186879077,0.5769250472293929,0.5725912186879077,0.5735298797366084,0.7041084596132406,4.71445369720459,0.5914364640883978,Decision Tree,3,1.6599669456481934,0.006683826446533203,success,,ANV,18
